entryID,userID,count,lastVoted
20,3,41,19/07/2020
21,6,60,19/07/2020
21,2,63,19/07/2020
21,4,100,19/07/2020
21,5,74,19/07/2020
21,3,66,19/07/2020
21,1,66,19/07/2020
22,3,17,19/07/2020
22,6,74,19/07/2020
23,5,67,19/07/2020
23,6,61,19/07/2020
24,1,29,19/07/2020
24,4,80,19/07/2020
24,6,54,19/07/2020
24,2,84,19/07/2020
24,3,82,19/07/2020
25,5,66,19/07/2020
25,2,73,19/07/2020
25,6,14,19/07/2020
25,3,98,19/07/2020
26,1,66,19/07/2020
26,6,91,19/07/2020
26,5,36,19/07/2020
27,1,35,19/07/2020
27,4,16,19/07/2020
27,6,74,19/07/2020
27,2,40,19/07/2020
27,5,5,19/07/2020
28,2,75,19/07/2020
28,6,54,19/07/2020
28,5,8,19/07/2020
28,1,53,19/07/2020
28,4,80,19/07/2020
28,3,1,19/07/2020
29,1,4,19/07/2020
29,2,38,19/07/2020
29,6,47,19/07/2020
29,5,48,19/07/2020
30,4,14,19/07/2020
30,3,15,19/07/2020
30,5,48,19/07/2020
30,2,87,19/07/2020
31,5,70,19/07/2020
31,6,43,19/07/2020
31,1,44,19/07/2020
31,2,67,19/07/2020
31,4,51,19/07/2020
32,5,78,19/07/2020
32,6,37,19/07/2020
32,4,38,19/07/2020
32,1,68,19/07/2020
32,2,57,19/07/2020
33,1,82,19/07/2020
33,2,69,19/07/2020
34,5,98,19/07/2020
34,6,51,19/07/2020
34,2,91,19/07/2020
34,4,19,19/07/2020
34,1,38,19/07/2020
35,1,13,19/07/2020
35,5,49,19/07/2020
35,3,84,19/07/2020
36,1,39,19/07/2020
36,6,69,19/07/2020
36,5,19,19/07/2020
36,2,37,19/07/2020
36,3,76,19/07/2020
37,2,63,19/07/2020
37,3,98,19/07/2020
37,1,58,19/07/2020
38,6,95,19/07/2020
38,3,37,19/07/2020
39,6,62,19/07/2020
40,4,17,19/07/2020
40,1,16,19/07/2020
40,6,78,19/07/2020
40,5,88,19/07/2020
41,1,23,19/07/2020
41,4,50,19/07/2020
42,3,37,19/07/2020
42,2,8,19/07/2020
42,6,68,19/07/2020
42,1,48,19/07/2020
42,5,14,19/07/2020
42,4,66,19/07/2020
43,3,33,19/07/2020
43,4,56,19/07/2020
44,1,19,19/07/2020
45,4,43,19/07/2020
46,6,56,19/07/2020
46,2,5,19/07/2020
46,1,50,19/07/2020
46,4,26,19/07/2020
46,3,15,19/07/2020
46,5,11,19/07/2020
47,5,57,19/07/2020
47,6,72,19/07/2020
47,1,9,19/07/2020
47,2,61,19/07/2020
48,1,10,19/07/2020
48,6,69,19/07/2020
48,5,50,19/07/2020
49,3,6,19/07/2020
49,1,68,19/07/2020
49,6,28,19/07/2020
50,5,80,19/07/2020
50,4,81,19/07/2020
50,6,12,19/07/2020
50,1,49,19/07/2020
51,4,34,19/07/2020
51,3,66,19/07/2020
52,3,22,19/07/2020
52,4,16,19/07/2020
52,2,8,19/07/2020
52,5,54,19/07/2020
53,5,76,19/07/2020
53,2,38,19/07/2020
54,5,89,19/07/2020
54,2,49,19/07/2020
55,3,16,19/07/2020
55,1,40,19/07/2020
55,5,13,19/07/2020
55,6,97,19/07/2020
56,2,26,19/07/2020
56,4,77,19/07/2020
56,1,33,19/07/2020
56,6,14,19/07/2020
56,5,26,19/07/2020
56,3,96,19/07/2020
57,3,91,19/07/2020
57,4,97,19/07/2020
58,2,32,19/07/2020
59,4,43,19/07/2020
60,2,95,19/07/2020
60,3,86,19/07/2020
60,5,90,19/07/2020
60,6,72,19/07/2020
60,4,69,19/07/2020
60,1,19,19/07/2020
61,3,15,19/07/2020
61,4,13,19/07/2020
61,6,35,19/07/2020
61,1,61,19/07/2020
62,4,24,19/07/2020
63,6,25,19/07/2020
63,1,44,19/07/2020
63,2,64,19/07/2020
63,4,62,19/07/2020
64,2,83,19/07/2020
64,6,18,19/07/2020
65,1,46,19/07/2020
66,1,17,19/07/2020
66,5,51,19/07/2020
66,6,77,19/07/2020
66,4,7,19/07/2020
67,4,12,19/07/2020
67,2,67,19/07/2020
67,1,20,19/07/2020
68,5,38,19/07/2020
69,5,7,19/07/2020
69,2,41,19/07/2020
69,4,48,19/07/2020
70,6,61,19/07/2020
70,4,27,19/07/2020
71,6,12,19/07/2020
72,5,19,19/07/2020
72,3,3,19/07/2020
72,2,77,19/07/2020
72,1,7,19/07/2020
72,4,60,19/07/2020
72,6,34,19/07/2020
73,2,79,19/07/2020
73,3,2,19/07/2020
73,1,51,19/07/2020
74,5,64,19/07/2020
74,3,43,19/07/2020
74,4,24,19/07/2020
74,1,84,19/07/2020
74,2,6,19/07/2020
74,6,34,19/07/2020
75,4,8,19/07/2020
75,6,41,19/07/2020
75,1,75,19/07/2020
75,2,16,19/07/2020
76,1,61,19/07/2020
76,4,80,19/07/2020
76,3,70,19/07/2020
76,6,26,19/07/2020
76,2,94,19/07/2020
76,5,1,19/07/2020
77,4,32,19/07/2020
77,3,15,19/07/2020
77,5,77,19/07/2020
78,6,31,19/07/2020
78,4,54,19/07/2020
78,5,51,19/07/2020
78,2,50,19/07/2020
79,5,64,19/07/2020
79,4,100,19/07/2020
79,1,94,19/07/2020
80,5,91,19/07/2020
80,4,23,19/07/2020
80,6,13,19/07/2020
80,3,92,19/07/2020
81,5,97,19/07/2020
81,6,87,19/07/2020
81,4,6,19/07/2020
81,2,9,19/07/2020
81,1,12,19/07/2020
82,1,66,19/07/2020
82,2,50,19/07/2020
83,6,64,19/07/2020
83,2,37,19/07/2020
84,3,85,19/07/2020
85,4,83,19/07/2020
85,6,94,19/07/2020
86,6,53,19/07/2020
86,2,53,19/07/2020
86,1,79,19/07/2020
86,5,53,19/07/2020
86,4,54,19/07/2020
87,4,25,19/07/2020
87,6,100,19/07/2020
88,5,62,19/07/2020
89,1,53,19/07/2020
89,2,3,19/07/2020
89,5,9,19/07/2020
89,6,14,19/07/2020
89,4,72,19/07/2020
90,2,54,19/07/2020
91,3,36,19/07/2020
91,1,97,19/07/2020
92,3,77,19/07/2020
92,4,33,19/07/2020
93,3,23,19/07/2020
93,5,48,19/07/2020
93,2,16,19/07/2020
93,4,1,19/07/2020
93,1,2,19/07/2020
93,6,10,19/07/2020
94,4,8,19/07/2020
94,2,33,19/07/2020
94,5,30,19/07/2020
94,1,85,19/07/2020
95,3,83,19/07/2020
95,1,76,19/07/2020
96,5,35,19/07/2020
96,4,74,19/07/2020
96,3,73,19/07/2020
96,6,23,19/07/2020
97,2,64,19/07/2020
97,3,76,19/07/2020
97,4,98,19/07/2020
97,5,14,19/07/2020
98,5,44,19/07/2020
98,2,72,19/07/2020
98,3,68,19/07/2020
98,4,60,19/07/2020
98,1,68,19/07/2020
99,4,65,19/07/2020
99,2,62,19/07/2020
99,6,79,19/07/2020
100,1,45,19/07/2020
100,2,75,19/07/2020
